subject_id,modality,contrast,condition,roi,window,start_ms,end_ms,mean_amplitude
202,scalp_main,face_vs_nonface,non_face,central_roi,W2,130,220,-0.6232491927073835
202,scalp_main,face_vs_nonface,non_face,central_roi,W3,220,320,-1.7432749615541798
202,scalp_main,face_vs_nonface,non_face,central_roi,W4,320,600,-1.7525909037033014
202,scalp_main,emotional_vs_neutral,emotional,face_roi,W1,80,130,9.227501321969756
202,scalp_main,emotional_vs_neutral,emotional,face_roi,W2,130,220,11.151637082191247
202,scalp_main,emotional_vs_neutral,emotional,face_roi,W3,220,320,11.688980564077415
202,scalp_main,emotional_vs_neutral,emotional,face_roi,W4,320,600,9.842621674690882
202,scalp_main,emotional_vs_neutral,neutral,face_roi,W1,80,130,10.737285484206797
202,scalp_main,emotional_vs_neutral,neutral,face_roi,W2,130,220,11.65213448488406
202,scalp_main,emotional_vs_neutral,neutral,face_roi,W3,220,320,12.581006107892263
202,scalp_main,emotional_vs_neutral,neutral,face_roi,W4,320,600,9.426634614897601
202,scalp_main,emotional_vs_neutral,emotional,late_roi,W1,80,130,1.1230690287951521
202,scalp_main,emotional_vs_neutral,emotional,late_roi,W2,130,220,1.8493894178592276
202,scalp_main,emotional_vs_neutral,emotional,late_roi,W3,220,320,1.181437661256413
202,scalp_main,emotional_vs_neutral,emotional,late_roi,W4,320,600,2.150406364662755
202,scalp_main,emotional_vs_neutral,neutral,late_roi,W1,80,130,1.4419442995482408
202,scalp_main,emotional_vs_neutral,neutral,late_roi,W2,130,220,1.9766642765847278
202,scalp_main,emotional_vs_neutral,neutral,late_roi,W3,220,320,1.1615174411343296
202,scalp_main,emotional_vs_neutral,neutral,late_roi,W4,320,600,1.8702998159249689
202,scalp_main,emotional_vs_neutral,emotional,central_roi,W1,80,130,-1.1820582735102991
202,scalp_main,emotional_vs_neutral,emotional,central_roi,W2,130,220,-1.1789329942967037
202,scalp_main,emotional_vs_neutral,emotional,central_roi,W3,220,320,-1.7629786030323658
202,scalp_main,emotional_vs_neutral,emotional,central_roi,W4,320,600,-0.6876610151465552
202,scalp_main,emotional_vs_neutral,neutral,central_roi,W1,80,130,-1.5933761099866273
202,scalp_main,emotional_vs_neutral,neutral,central_roi,W2,130,220,-1.1761805195683317
202,scalp_main,emotional_vs_neutral,neutral,central_roi,W3,220,320,-2.259378893534142
202,scalp_main,emotional_vs_neutral,neutral,central_roi,W4,320,600,-1.0783147489350644
203,scalp_main,face_vs_nonface,face,face_roi,W1,80,130,2.9167989286536735
203,scalp_main,face_vs_nonface,face,face_roi,W2,130,220,7.089462386451864
