window,start_ms,end_ms,channel,n_subjects,mean_difference,median_difference,std_difference,sem_difference,include_in_topomap
W1,80.0,130.0,P4,11,0.4350643386468958,0.21846559693404366,2.2704238105887393,0.6845585358919806,True
W1,80.0,130.0,P8,11,0.7023197193490415,0.674940860894063,2.603508839611587,0.7849874508513828,True
W1,80.0,130.0,O1,11,4.568424938087213,4.140006007301912,2.6176364645595775,0.7892470900451416,True
W1,80.0,130.0,O2,11,5.170408281342557,4.516781330938219,3.4485399611928735,1.039773920529412,True
W2,130.0,220.0,Fp1,11,0.5863034226095066,0.571395068320383,2.2348137390298004,0.6738216953357344,True
W2,130.0,220.0,Fpz,11,0.878291846732412,1.0834685642801105,1.7984274646626834,0.5422462829960242,True
W2,130.0,220.0,Fp2,11,0.7514909784077178,0.8039954134760543,2.0593980966662504,0.6209318891467284,True
W2,130.0,220.0,F7,11,1.3242378840548545,1.0321920355157204,1.686484593538813,0.5084942374075707,True
W2,130.0,220.0,F3,7,1.1824347411708982,1.3056651908552457,0.9327581383867851,0.3525494382204291,True
W2,130.0,220.0,Fz,11,1.352265891619397,0.9324843694098783,1.4439786794952434,0.43537595319623446,True
W2,130.0,220.0,F4,10,1.0754301741688692,0.858867118005848,1.5435331149689178,0.4881080287196319,True
W2,130.0,220.0,F8,11,1.7060545083681686,1.6158327039954654,1.0716364880212048,0.3231105584018659,True
W2,130.0,220.0,FC5,6,0.9478864947205784,1.1401294276440403,0.8491464595356496,0.3466625904588709,True
W2,130.0,220.0,FC1,9,1.4710402200406845,1.3520129932111304,1.2272978065640834,0.4090992688546944,True
W2,130.0,220.0,FC2,9,1.0301396828877776,0.8266701140521544,1.3603676938584095,0.4534558979528031,True
W2,130.0,220.0,FC6,11,1.5574702828825708,1.4236746662640847,1.0424283027240024,0.3143039591802299,True
W2,130.0,220.0,T7,10,0.9912322933382332,0.890088448196592,1.6707228105498984,0.5283289420135671,True
W2,130.0,220.0,C3,11,0.7542507635315794,0.44650563477762395,1.2235148452944566,0.3689036061155861,True
W2,130.0,220.0,Cz,9,0.6217430137151945,0.5519410361775519,1.1159467720809226,0.3719822573603075,True
W2,130.0,220.0,C4,11,0.6893609733188744,0.6113864795313864,1.185154901165784,0.3573376477834221,True
W2,130.0,220.0,T8,11,1.142069482537859,1.222869621117336,1.4609705885882902,0.44049920655382213,True
W2,130.0,220.0,TP7,10,-0.45338841938722396,-0.010436021873881929,1.8556216907219423,0.5867991018293875,True
W2,130.0,220.0,CP5,10,-0.5313416470386276,-0.19701728891986253,1.6287485748606043,0.5150555232312775,True
W2,130.0,220.0,CP1,10,-0.2896217638973154,-0.6259445459887781,1.3181564255428757,0.41683766171016395,True
W2,130.0,220.0,CP2,9,-0.108565675498637,-0.3840340231105679,1.320528109458098,0.4401760364860327,True
W2,130.0,220.0,CP6,11,-0.24109570505116865,-0.7399040612297014,1.798661385528185,0.5423168127907063,True
W2,130.0,220.0,TP8,10,-0.10291864119532801,-0.25330030508667845,1.9490507206346264,0.616343955239796,True
W2,130.0,220.0,P7,11,-1.1502980828030689,-0.898252904603261,2.0266860662409956,0.6110688408693412,True
W2,130.0,220.0,P3,11,-1.084048776538046,-1.187540322836778,1.6204449815375392,0.4885825451976728,True
W2,130.0,220.0,Pz,11,-0.6746234409709213,-0.9000940144811005,1.4262696506683419,0.430036480103469,True
W2,130.0,220.0,P4,11,-0.8784099304796542,-1.6949350876459137,1.6286701243339208,0.49106251906155385,True
W2,130.0,220.0,P8,11,-1.054305297963397,-1.6214722954064165,2.430568142321192,0.7328438686791396,True
W2,130.0,220.0,O1,11,-1.0491103962034838,-0.719916279648265,2.371380499760353,0.7149981229882331,True
W2,130.0,220.0,O2,11,-0.5182645770308688,-1.3586628590290388,2.698444892176847,0.8136117477092395,True
W3,220.0,320.0,Fp1,11,-3.7387142480112288,-0.703820817968571,8.604656497882013,2.594401550306197,True
W3,220.0,320.0,Fpz,11,-2.546364795674025,1.124702444635492,7.962590777646845,2.4008114516908012,True
W3,220.0,320.0,Fp2,11,-2.685919883259279,0.7309402413746229,7.756589843952627,2.338699833188382,True
W3,220.0,320.0,F7,11,0.00917366240173114,0.01887116088357521,2.2173652038074114,0.6685607640199194,True
W3,220.0,320.0,F3,7,1.8957348363512854,1.976559329868321,0.8038718613049547,0.3038350044250738,True
