analysis,modality,contrast,roi,window,condition_a,condition_b,n,mean_a,mean_b,mean_diff,test,statistic,p_value,effect_size_dz,p_fdr
condition_within_modality,ear_strict_main,face_vs_nonface,ear_left,W4,face,non_face,11,0.10187782010195257,-1.9327713927468366,2.034649212848789,wilcoxon,10.0,0.0419921875,0.8519189924582656,0.3079427083333333
condition_within_modality,ear_strict_main,face_vs_nonface,ear_mastoid,W1,face,non_face,11,1.8809503364799485,1.2088438615264605,0.6721064749534877,wilcoxon,17.0,0.1748046875,0.5282465771189575,0.4157516891891892
condition_within_modality,ear_strict_main,face_vs_nonface,ear_mastoid,W2,face,non_face,11,1.9787900221564627,2.007542195572069,-0.028752173415606708,wilcoxon,25.0,0.51953125,-0.020411185689704913,0.7882543103448276
condition_within_modality,ear_strict_main,face_vs_nonface,ear_mastoid,W3,face,non_face,11,1.8111043103174416,1.4901552376482015,0.3209490726692403,wilcoxon,30.0,0.8310546875,0.18105032377551045,0.8918635670731707
condition_within_modality,ear_strict_main,face_vs_nonface,ear_mastoid,W4,face,non_face,11,1.8648106666338577,0.18474334213421653,1.680067324499641,wilcoxon,15.0,0.123046875,0.5393637830671973,0.405517578125
condition_within_modality,ear_strict_main,face_vs_nonface,ear_right,W1,face,non_face,11,1.111242079653689,0.2911090553834115,0.8201330242702777,wilcoxon,5.0,0.009765625,0.9411252742713101,0.13368055555555555
condition_within_modality,ear_strict_main,face_vs_nonface,ear_right,W2,face,non_face,11,1.0359037847679908,0.5154225294647401,0.5204812553032507,wilcoxon,14.0,0.1015625,0.5585239943201651,0.405517578125
condition_within_modality,ear_strict_main,face_vs_nonface,ear_right,W3,face,non_face,11,0.5617786761303694,-0.12409897332734858,0.685877649457718,wilcoxon,14.0,0.1015625,0.5649797206281746,0.405517578125
condition_within_modality,ear_strict_main,face_vs_nonface,ear_right,W4,face,non_face,11,1.26832423742223,-0.39219323632696296,1.660517473749193,wilcoxon,6.0,0.013671875,0.8598234988041729,0.13368055555555555
condition_within_modality,ear_strict_main,face_vs_nonface,ear_strict,W1,face,non_face,11,0.9958271432844605,0.6094637217160058,0.3863634215684548,wilcoxon,16.0,0.1474609375,0.5171536319513419,0.405517578125
