subject_id,modality,contrast,condition_a,condition_b,roi,window,start_ms,end_ms,mean_a,mean_b,difference,n_a,n_b
214,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_left,W4,320,600,-0.8893995013045181,-1.4334744750590849,0.5440749737545668,240.0,80.0
200,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_mastoid,W1,80,130,2.4087544376234664,2.680424735424304,-0.2716702978008376,240.0,80.0
201,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_mastoid,W1,80,130,5.098265246782121,3.580101380729743,1.5181638660523777,240.0,80.0
202,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_mastoid,W1,80,130,4.98056666943816,-1.3080136373390152,6.288580306777175,240.0,80.0
203,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_mastoid,W1,80,130,0.1397464134406206,0.4669315966792464,-0.3271851832386258,240.0,80.0
205,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_mastoid,W1,80,130,1.2061689211684583,1.5983696857802605,-0.3922007646118022,240.0,80.0
206,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_mastoid,W1,80,130,2.1979261334602795,1.1820036007372878,1.0159225327229917,240.0,80.0
208,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_mastoid,W1,80,130,1.0836910006523874,1.597702067576626,-0.5140110669242386,240.0,80.0
209,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_mastoid,W1,80,130,0.9754299391185526,1.4469607778107505,-0.4715308386921979,240.0,80.0
211,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_mastoid,W1,80,130,2.513979584850903,2.7283801351035724,-0.21440055025266958,240.0,80.0
212,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_mastoid,W1,80,130,0.7914012180617902,0.6156595388542864,0.17574167920750383,240.0,80.0
214,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_mastoid,W1,80,130,1.0316623363866344,0.8905192208105608,0.14114311557607362,240.0,80.0
200,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_mastoid,W2,130,220,2.987576503691088,2.862713474607587,0.12486302908350133,240.0,80.0
201,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_mastoid,W2,130,220,2.528598375733075,4.627810512334902,-2.099212136601827,240.0,80.0
202,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_mastoid,W2,130,220,5.985000128365675,-2.439169853679654,8.42416998204533,240.0,80.0
203,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_mastoid,W2,130,220,1.8217307198521715,2.3552208422397416,-0.5334901223875701,240.0,80.0
205,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_mastoid,W2,130,220,1.7477087067852666,2.179593824949505,-0.43188511816423825,240.0,80.0
206,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_mastoid,W2,130,220,3.1972348656985186,2.7489965418467586,0.44823832385176,240.0,80.0
208,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_mastoid,W2,130,220,0.4983159967484682,1.4852269229816208,-0.9869109262331526,240.0,80.0
209,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_mastoid,W2,130,220,1.4003284707870431,2.399801891313103,-0.9994734205260598,240.0,80.0
211,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_mastoid,W2,130,220,3.441385754047917,3.4785776324148485,-0.03719187836693161,240.0,80.0
212,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_mastoid,W2,130,220,-1.2661160953767134,-0.8825724886032499,-0.38354360677346355,240.0,80.0
214,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_mastoid,W2,130,220,0.317060757831563,0.2740891219869908,0.0429716358445722,240.0,80.0
200,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_mastoid,W3,220,320,2.914954114460861,2.6365578582976155,0.2783962561632456,240.0,80.0
201,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_mastoid,W3,220,320,0.0067231616284265,3.4564817293406054,-3.4497585677121787,240.0,80.0
202,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_mastoid,W3,220,320,6.408096984141026,-4.599952938078527,11.008049922219552,240.0,80.0
203,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_mastoid,W3,220,320,1.6092487786510272,1.849145884064052,-0.23989710541302478,240.0,80.0
205,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_mastoid,W3,220,320,2.5152699794437683,3.050769774782212,-0.5354997953384437,240.0,80.0
206,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_mastoid,W3,220,320,3.759891094732956,3.2800230529316896,0.4798680418012662,240.0,80.0
208,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_mastoid,W3,220,320,-0.2785139568577734,-0.5515091998535142,0.2729952429957408,240.0,80.0
209,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_mastoid,W3,220,320,0.9793151115314448,2.2943820910728427,-1.315066979541398,240.0,80.0
211,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_mastoid,W3,220,320,4.167482200398212,4.284325005478422,-0.11684280508020972,240.0,80.0
212,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_mastoid,W3,220,320,-0.817908873730915,-0.6024553905925328,-0.2154534831383822,240.0,80.0
214,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_mastoid,W3,220,320,0.1735444937083978,0.2765125222022636,-0.10296802849386577,240.0,80.0
200,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_mastoid,W4,320,600,2.277176993013312,2.5369101198038937,-0.2597331267905818,240.0,80.0
201,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_mastoid,W4,320,600,2.887818084718255,2.7113909733179278,0.17642711140032707,240.0,80.0
202,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_mastoid,W4,320,600,6.761706234251096,-6.34911573054473,13.110821964795825,240.0,80.0
203,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_mastoid,W4,320,600,1.0514441755164603,1.3740639527714047,-0.3226197772549444,240.0,80.0
205,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_mastoid,W4,320,600,2.147590387944544,3.2431162025818447,-1.0955258146373006,240.0,80.0
