modality,contrast,roi,window,start_ms,end_ms,n_subjects,mean_difference,median_difference,std_difference,sem_difference,ci95_low,ci95_high,n_positive,n_negative,positive_pct,t_stat,p_ttest,wilcoxon_stat,p_wilcoxon,p_sign,effect_size_dz,p_fdr_ttest,p_fdr_wilcoxon
ear_full_sens,emotional_vs_neutral,ear_strict,W4,320.0,600.0,11,0.718633035020766,0.1034886347479489,2.27954051542602,0.6873073258255876,-0.8127831208913506,2.2500491909328826,7,4,63.63636363636363,1.04557744115058,0.32037156470176376,24.0,0.46484375,0.548828125,0.315253460141489,0.6866681236912675,0.8338155864197531
ear_full_sens,emotional_vs_neutral,ear_strict,W5,600.0,800.0,11,0.39424845109560724,-0.02304095030642979,2.1839159129498924,0.6584754233582962,-1.0729262227530738,1.8614231249442883,5,6,45.45454545454545,0.5987291812424788,0.5626696635652254,29.0,0.7646484375,1.0,0.18052364047436328,0.7238391264861731,0.8643851902173914
ear_full_sens,face_vs_nonface,ear_full,W1,80.0,130.0,11,0.26116805561268647,0.016770199772255398,0.6229614685160564,0.1878299499924143,-0.1573431535280434,0.6796792647534163,9,2,81.81818181818181,1.3904494763653716,0.19455966667491684,5.0,0.009765625,0.0654296875,0.4192362911863706,0.665598859677347,0.1974826388888889
ear_full_sens,face_vs_nonface,ear_full,W2,130.0,220.0,11,0.3394782685392722,0.0021006072203149,0.9186774279641222,0.27699166653870405,-0.27769762534613096,0.9566541624246754,6,5,54.54545454545455,1.225590187536696,0.2484335974717801,23.0,0.4130859375,1.0,0.3695293453455026,0.6866681236912675,0.8338155864197531
ear_full_sens,face_vs_nonface,ear_full,W3,220.0,320.0,11,0.44090130332146793,0.0185719256738346,1.1574522948289072,0.3489849976984819,-0.3366857288034143,1.21848833544635,7,4,63.63636363636363,1.2633818250903737,0.23511148340429106,13.0,0.0830078125,0.548828125,0.3809239527981076,0.6866681236912675,0.5324978298611112
ear_full_sens,face_vs_nonface,ear_full,W4,320.0,600.0,11,0.6354836749403122,0.012256801037178,1.6230190899661738,0.48935866809107936,-0.4548753859792368,1.7258427358598611,10,1,90.9090909090909,1.2986051262139613,0.2232261015083065,6.0,0.013671875,0.01171875,0.39154417768034794,0.6866681236912675,0.1974826388888889
ear_full_sens,face_vs_nonface,ear_full,W5,600.0,800.0,11,0.4742319391523766,0.0055817966159853,1.4159098669770935,0.4269128877931859,-0.47698925254416935,1.4254531308489224,6,5,54.54545454545455,1.1108400629547497,0.29263219639775667,20.0,0.2783203125,1.0,0.33493088099233415,0.6866681236912675,0.7384008290816326
ear_full_sens,face_vs_nonface,ear_left,W1,80.0,130.0,11,-0.18752488963188704,0.1788420334798686,1.043047004088345,0.314490504660485,-0.8882534016399742,0.5132036223762001,6,5,54.54545454545455,-0.5962815628864011,0.5642402231979664,28.0,0.7001953125,1.0,-0.17978565577280914,0.7238391264861731,0.8428276909722222
ear_full_sens,face_vs_nonface,ear_left,W2,130.0,220.0,11,0.3702792505688018,0.4720470580348083,1.4009720939349202,0.42240897975824276,-0.5709066086494101,1.3114651097870138,7,4,63.63636363636363,0.8765894389383571,0.401277028364604,27.0,0.6376953125,0.548828125,0.26430166037697145,0.6956861021679364,0.8428276909722222
ear_full_sens,face_vs_nonface,ear_left,W3,220.0,320.0,11,1.0759024440164067,1.2137301762439194,1.8291642289996681,0.5515137661392383,-0.15294680571193542,2.3047516937447488,7,4,63.63636363636363,1.9508170241117395,0.07964035237094363,15.0,0.123046875,0.548828125,0.5881934639651221,0.5022504953500154,0.5324978298611112
